,category,subgroup,name,importance,shap_mean_0,shap_mean_1,shap_mean_2
71,ohlcv,history,high_pct_lag1,0.0021425506565719843,-0.021251274272799492,0.004597053397446871,0.05437247082591057
72,ohlcv,history,high_pct_lag2,0.002144013764336705,-0.008545372635126114,-0.002063593128696084,0.017414553090929985
73,ohlcv,history,high_pct_lag3,0.002382664242759347,0.012679529376327991,-0.03326522186398506,-0.02350313775241375
74,ohlcv,history,high_pct_lag4,0.0025920234620571136,-0.12345493584871292,0.0575830414891243,-0.07152178138494492
75,ohlcv,history,high_pct_lag5,0.0014424531254917383,-0.017330804839730263,0.04011136665940285,0.0259673111140728
76,ohlcv,history,high_pct_lag6,0.002985606202855706,-0.00022841129975859076,0.0729784220457077,0.01619991473853588
77,ohlcv,history,high_pct_lag7,0.0025496664457023144,-0.010120311751961708,0.060577139258384705,-0.039170216768980026
78,ohlcv,history,high_pct_lag8,0.0015621880302205682,0.04874610900878906,-0.0037428117357194424,-0.022618742659687996
79,ohlcv,history,high_pct_lag9,0.002531996462494135,0.00670708017423749,0.04634837806224823,-0.06389353424310684
80,ohlcv,history,high_pct_lag10,0.002200729912146926,0.025099003687500954,0.0007241898565553129,-0.0982811227440834
81,ohlcv,history,low_pct_lag1,0.001718377461656928,-0.015223069116473198,0.0021635363809764385,-0.022003598511219025
82,ohlcv,history,low_pct_lag2,0.0022269219625741243,-0.020013734698295593,-0.028206555172801018,0.06193562224507332
83,ohlcv,history,low_pct_lag3,0.0018702528905123472,-0.09357909113168716,-0.002235911786556244,0.0583813413977623
84,ohlcv,history,low_pct_lag4,0.003080299822613597,0.01915915310382843,-0.0389699712395668,-0.00267039448954165
85,ohlcv,history,low_pct_lag5,0.0009907458443194628,0.06841099262237549,-0.11178351938724518,0.008792277425527573
86,ohlcv,history,low_pct_lag6,0.002791265258565545,-0.009661281481385231,-0.058337051421403885,0.09035131335258484
87,ohlcv,history,low_pct_lag7,0.002446684055030346,0.0297121312469244,-0.055181801319122314,-0.06092775985598564
88,ohlcv,history,low_pct_lag8,0.0018389261094853282,-0.01418534480035305,0.0033315406180918217,-0.025672832503914833
89,ohlcv,history,low_pct_lag9,0.002508319215849042,-0.015960628166794777,-0.004597607534378767,0.00993721280246973
90,ohlcv,history,low_pct_lag10,0.0021858280524611473,0.0014371202560141683,-0.0064732832834124565,-0.018104270100593567
91,ohlcv,history,close_pct_lag1,0.0020303307101130486,-0.015242201276123524,0.0004080734506715089,-0.0033362708054482937
92,ohlcv,history,close_pct_lag2,0.0032030497677624226,-0.004867597948759794,-0.018324265256524086,0.014776443131268024
93,ohlcv,history,close_pct_lag3,0.001975580584257841,-0.017949311062693596,-0.03396613150835037,0.018515396863222122
94,ohlcv,history,close_pct_lag4,0.002268910873681307,-0.00650149816647172,0.03461764007806778,-0.041677143424749374
95,ohlcv,history,close_pct_lag5,0.0037764215376228094,0.009431526996195316,-0.013175372034311295,-0.009554298594594002
